0.969;0.98;0.99
0.855;0.921;0.963
0.862;0.925;0.97
0.933;0.963;0.983
0.91;0.95;0.978
0.842;0.919;0.967
0.671;0.723;0.846
0.538;0.639;0.755
0.931;0.954;0.974
0.767;0.832;0.895
0.962;0.974;0.983
0.716;0.787;0.875
0.58;0.668;0.761
0.953;0.971;0.985
0.897;0.936;0.969
0.951;0.971;0.985
0.985;0.991;0.995
0.713;0.78;0.892
0.8;0.889;0.953
0.908;0.953;0.981
0.918;0.96;0.983
0.861;0.928;0.97
0.876;0.93;0.969
0.961;0.978;0.989
0.909;0.946;0.973
0.943;0.961;0.975
0.989;0.992;0.995
0.812;0.88;0.922
0.806;0.868;0.916
0.752;0.832;0.911
0.798;0.871;0.937
0.907;0.944;0.968
0.94;0.966;0.982
0.829;0.91;0.962
0.896;0.949;0.978
0.895;0.949;0.978
0.937;0.954;0.975
0.991;0.994;0.997
0.966;0.982;0.992
0.911;0.957;0.979
0.969;0.984;0.993
0.982;0.988;0.992
0.96;0.97;0.982
0.973;0.979;0.988
0.975;0.978;0.982
0.946;0.955;0.97
0.915;0.928;0.949
0.903;0.915;0.937
0.895;0.907;0.928
0.891;0.901;0.926
0.905;0.918;0.932
0.916;0.927;0.94
0.925;0.935;0.947
0.933;0.942;0.952
0.937;0.947;0.956
0.937;0.947;0.957
0.937;0.948;0.957
0.934;0.945;0.955
0.931;0.942;0.951
0.914;0.923;0.942
0.923;0.932;0.95
0.936;0.942;0.955
0.932;0.952;0.965
0.91;0.946;0.975
0.852;0.913;0.965
0.789;0.875;0.951
0.785;0.871;0.949
0.786;0.872;0.949
0.776;0.869;0.94
0.786;0.873;0.949
0.775;0.869;0.94
0.776;0.869;0.941
0.706;0.827;0.92
0.699;0.823;0.905
0.763;0.846;0.928
0.786;0.871;0.939
0.833;0.9;0.945
0.886;0.922;0.948
0.908;0.923;0.941
0.912;0.935;0.955
0.947;0.957;0.968
0.96;0.968;0.978
0.958;0.964;0.975
0.961;0.969;0.978
0.963;0.973;0.983
0.963;0.974;0.984
0.998;0.998;0.999
0.986;0.991;0.994
0.991;0.993;0.996
0.995;0.997;0.997
